100,73.18
200,78.23
300,82.21
400,83.98
500,85.68
600,86.73
700,87.47
800,88.27
900,88.85
1000,89.31
1100,89.67
1200,90.03
1300,90.40
1400,90.68
1500,90.90
1600,91.12
1700,91.31
1800,91.47
1900,91.63
2000,91.80
2100,91.96
2200,92.11
2300,92.27
2400,92.44
2500,92.61
2600,92.79
2700,92.95
2800,93.05
2900,93.19
3000,93.26
3100,93.33
3200,93.41
3300,93.47
3400,93.52
3500,93.57
3600,93.61
3700,93.65
3800,93.68
3900,93.71
4000,93.74
4100,93.77
4200,93.80
4300,93.82
4400,93.84
4500,93.86
4600,93.88
4700,93.90
4800,93.92
4900,93.93
5000,93.94
5100,93.96
5200,93.97
5300,93.98
5400,93.99
5500,94.00
5600,94.01
5700,94.02
5800,94.03
5900,94.04
6000,94.04
6100,94.05
6200,94.06
6300,94.06
6400,94.07
6500,94.07
6600,94.08
6700,94.08
6800,94.09
6900,94.09
7000,94.09
7100,94.10
7200,94.10
7300,94.10
7400,94.10
7500,94.11
7600,94.11
7700,94.11
7800,94.11
7900,94.11
8000,94.11
8100,94.11
8200,94.11
8300,94.11
8400,94.11
8500,94.11
8600,94.11
8700,94.11
8800,94.11
8900,94.11
9000,94.11
9100,94.11
9200,94.11
9300,94.11
9400,94.11
9500,94.11
9600,94.11
9700,94.11
9800,94.11
9900,94.11
10000,94.11
10100,94.11
10200,94.11
10300,94.11
10400,94.11
10500,94.11
10600,94.11
10700,94.11
10800,94.11
10900,94.11
11000,94.11
11100,94.11
11200,94.11
11300,94.11
11400,94.11
11500,94.11
11600,94.11
11700,94.11
11800,94.11
11900,94.11
12000,94.11
12100,94.11
12200,94.11
12300,94.11
12400,94.11
12500,94.11
12600,94.11
12700,94.11
12800,94.11
12900,94.11
13000,94.11
13100,94.11
13200,94.11
13300,94.11
13400,94.11
13500,94.11
13600,94.11
13700,94.11
13800,94.11
13900,94.11
14000,94.11
14100,94.11
14200,94.11
14300,94.11
14400,94.11
14500,94.11
14600,94.11
14700,94.11
14800,94.11
14900,94.11
15000,94.11
15100,94.11
15200,94.11
15300,94.11
15400,94.11
15500,94.11
15600,94.11
15700,94.11
15800,94.11
15900,94.11
16000,94.11
16100,94.11
16200,94.11
16300,94.11
16400,94.11
16500,94.11
16600,94.11
16700,94.11
16800,94.11
16900,94.11
17000,94.11
17100,94.11
17200,94.11
17300,94.11
17400,94.11
17500,94.11
17600,94.11
17700,94.11
17800,94.11
17900,94.11
18000,94.11
18100,94.11
18200,94.11
18300,94.11
18400,94.11
18500,94.11
18600,94.11
18700,94.11
18800,94.11
18900,94.11
19000,94.11
19100,94.11
19200,94.11
19300,94.11
19400,94.11
19500,94.11
19600,94.11
19700,94.11
19800,94.11
19900,94.11
20000,94.11
