10.74,85.29
22.33,89.84
33.98,91.13
45.11,92.11
56.15,92.74
66.99,93.26
77.89,93.71
88.48,93.56
98.66,93.71
108.65,93.78
118.53,93.75
128.16,93.89
137.53,94.04
146.86,94.48
156.03,93.98
165.08,93.95
174.00,94.15
182.83,94.50
191.69,94.28
200.46,94.34
209.20,94.55
217.81,94.53
226.19,94.53
234.36,94.38
242.54,94.45
250.63,94.75
258.53,94.77
266.40,94.60
274.15,94.57
281.79,94.63
289.28,94.96
296.86,94.62
304.37,94.56
311.78,94.60
319.03,94.61
326.17,94.77
333.34,94.77
340.38,94.79
347.40,94.78
354.56,94.94
361.50,95.08
368.33,95.04
375.08,94.94
381.75,94.85
388.40,94.96
395.05,95.01
401.87,95.03
408.52,95.54
415.09,95.12
421.66,95.12
428.20,95.27
434.81,95.12
441.42,95.07
447.85,95.19
454.30,95.12
460.73,95.23
467.09,95.21
473.67,95.27
480.07,95.37
486.23,95.45
492.04,95.89
497.84,95.60
