0,1,0
0,2,474
0,3,0
0,4,148
0,5,85
0,6,1851
0,7,198
0,8,2692
0,9,1427
0,10,226
0,11,0
0,12,290
0,13,57
0,14,0
0,15,212
0,16,0
0,11,0
0,13,57
0,17,148
0,18,1499
0,19,81
0,20,0
0,21,546
0,22,214
0,23,176
0,24,928
0,25,0
0,26,0
0,27,0
0,1,0
0,28,476
0,2,474
0,29,198
0,18,1499
0,30,0
0,31,872
0,32,0
0,33,619
0,20,2195
0,27,912
0,30,77
0,34,116
0,11,0
0,18,1499
0,35,800
0,26,346
0,36,196
0,37,405
0,38,917
0,39,82
0,40,86
0,41,137
0,42,198
0,43,211
0,42,198
0,25,0
0,44,98
0,45,0
0,46,1577
0,47,953
0,48,336
0,49,2422
0,44,98
0,50,396
0,51,34
0,52,1049
0,53,0
0,54,645
0,55,139
0,56,0
0,54,645
0,57,125
0,58,164
0,59,178
0,60,176
0,61,203
0,62,164
0,63,0
0,64,0
0,65,0
0,66,389
0,53,235
0,56,283
0,67,2125
0,68,81
0,69,1289
0,70,288
0,71,89
0,69,1298
0,72,436
0,65,57
0,73,427
0,64,500
0,74,421
0,32,0
0,45,0
0,75,242
0,76,302
0,77,216
0,78,1096
0,79,184
0,80,1166
0,81,188
0,82,425
0,83,1816
0,84,138
0,85,702
0,86,226
0,5,0
0,87,230
0,88,169
0,89,220
0,90,0
0,2,474
0,91,370
0,87,230
0,5,85
0,92,227
0,93,0
0,94,285
0,95,0
0,96,181
0,93,193
0,97,60
0,98,367
0,99,0
0,100,1120
0,101,213
0,95,306
0,102,186
0,1,0
0,103,202
0,104,2318
0,14,0
0,105,432
0,106,301
0,107,219
0,89,220
0,108,417
0,13,57
0,18,1499
0,109,2610
0,110,142
0,42,198
0,111,2615
0,112,0
0,90,0
0,113,0
0,114,779
0,41,137
0,115,3505
0,43,211
0,116,156
0,15,212
0,117,77
0,113,231
0,48,336
0,32,0
0,118,0
0,103,202
0,119,0
0,120,0
0,121,1217
0,122,802
0,123,0
0,124,6038
0,125,57
0,126,0
0,127,658
0,3,0
0,118,2416
0,128,454
0,129,2401
0,119,69
0,127,667
0,123,277
0,67,2125
0,126,617
0,120,73
0,112,0
0,41,137
0,130,1019
0,131,232
0,132,0
0,133,0
0,55,139
0,134,230
0,118,2416
0,135,60
0,136,3166
0,132,209
0,137,200
0,59,178
0,138,1159
0,133,474
0,139,1161
0,77,216
0,140,84
0,141,0
0,142,1157
0,143,1764
0,144,209
0,145,50
0,146,225
0,147,0
0,79,184
0,148,97
0,77,216
0,149,214
0,150,0
0,6,1851
0,141,1440
0,151,97
0,152,0
0,153,1529
0,154,1250
0,79,184
0,79,184
0,138,1159
0,147,625
0,147,634
0,79,184
0,59,178
0,155,86
0,156,0
0,157,98
0,32,0
0,150,208
0,132,209
0,132,209
0,79,184
0,158,227
0,159,94
0,160,526
0,79,184
0,79,184
0,152,60
0,79,184
0,161,1066
0,79,184
0,156,523
0,154,1250
0,162,272
0,163,1871
0,164,2037
0,117,77
0,54,636
0,165,0
0,166,1480
0,167,0
0,168,0
0,169,223
0,170,66
0,171,1538
0,172,151
0,173,2145
0,174,220
0,175,311
0,176,120
0,177,238
0,178,81
0,179,214
0,167,382
0,107,219
0,180,463
0,181,1241
0,182,503
0,183,2117
0,154,1250
0,184,0
0,149,214
0,185,157
0,186,3089
0,187,197
0,154,1250
0,188,507
0,189,79
0,190,890
0,191,1644
0,192,229
0,190,890
0,32,0
0,193,292
0,194,2581
0,195,1090
0,196,152
0,165,0
0,197,77
0,184,86
0,198,0
0,199,242
0,200,2200
0,201,0
0,202,2617
0,203,127
0,204,2712
0,72,436
0,205,135
0,206,0
0,207,430
0,208,90
0,209,0
0,210,445
0,211,2340
0,212,79
0,198,135
0,213,522
0,214,1594
0,215,455
0,216,0
0,217,0
0,218,2363
0,182,503
0,219,3498
0,220,2143
0,221,286
0,206,189
0,201,1201
0,69,1289
0,222,153
0,223,200
0,224,142
0,217,0
0,225,209
0,216,254
0,225,209
0,226,252
0,227,123
0,228,335
0,229,473
0,225,209
0,217,214
0,230,233
0,225,209
0,231,337
0,165,0
0,79,184
0,79,184
0,232,182
0,217,214
0,168,0
0,154,1250
0,233,0
0,234,75
0,235,80
0,188,507
0,236,96
0,237,81
0,238,625
0,239,0
0,240,224
0,241,166
0,238,634
0,239,85
0,242,0
0,243,297
0,244,2907
0,245,0
0,246,223
0,247,239
0,248,1689
0,249,345
0,250,78
0,251,51
0,252,0
0,196,152
0,96,181
0,253,235
0,254,0
0,255,0
0,256,85
0,257,470
0,233,2004
0,258,542
0,259,0
0,260,1001
0,261,100
0,262,321
0,206,189
0,263,204
0,244,2907
0,245,77
0,242,579
0,264,75
0,265,0
0,266,0
0,267,120
0,263,204
0,268,213
0,244,2907
0,269,387
0,270,1793
0,271,1468
0,252,402
0,250,78
0,259,132
0,272,103
0,255,279
0,254,845
0,273,0
0,244,2907
0,274,0
0,182,503
0,275,0
0,225,209
